10,03;2019-26-24 10:26:52;Easy
15,57;2019-27-24 10:27:32;Easy
9,93;2019-27-24 10:27:50;Easy
13,52;2019-13-01 04:13:11;Hard
0;2019-54-02 03:54:18;Easy
0;2019-56-02 03:56:54;Easy
2,95;2019-54-07 12:54:31;Easy
2,44;2019-55-07 12:55:18;Easy
4,01;2019-15-07 01:15:35;Easy
7,15;2019-26-11 06:26:42;Easy
2,38;2019-27-13 05:27:23;Easy
2,8;2019-27-13 05:27:36;Easy
1,91;2019-27-13 05:27:51;Easy
1,62;2019-50-13 05:50:44;Easy
5,06;2019-32-13 07:32:24;Easy
7,04;2019-16-13 10:16:41;Easy
9,92;2019-20-13 10:20:18;Easy
15,76;2019-32-14 06:32:45;Easy
